Age;Disability
35-44;None
35-44;None
16-17;Non-limiting
16-17;None
45-54;None
65-74;None
25-34;None
45-54;Limiting
55-64;None
16-17;None
45-54;Non-limiting
35-44;None
20-24;None
45-54;None
20-24;None
65-74;None
35-44;None
20-24;None
65-74;Non-limiting
16-17;None
25-34;Limiting
25-34;None
55-64;Non-limiting
16-17;None
35-44;None
25-34;None
55-64;None
65-74;Limiting
18-19;None
55-64;Non-limiting
25-34;None
25-34;Non-limiting
20-24;None
25-34;Non-limiting
25-34;None
65-74;Limiting
25-34;Limiting
25-34;None
55-64;Limiting
35-44;Non-limiting
35-44;None
35-44;None
25-34;None
35-44;None
25-34;Limiting
35-44;None
18-19;None
45-54;None
45-54;None
35-44;None
25-34;None
45-54;None
18-19;None
45-54;Limiting
45-54;None
16-17;None
45-54;None
20-24;None
65-74;Limiting
25-34;None
25-34;None
35-44;None
55-64;None
35-44;None
45-54;Non-limiting
20-24;None
35-44;None
35-44;None
18-19;None
25-34;None
65-74;Non-limiting
45-54;Non-limiting
20-24;None
45-54;None
35-44;None
16-17;None
25-34;None
35-44;None
25-34;Limiting
25-34;None
25-34;None
45-54;None
18-19;None
55-64;None
45-54;None
35-44;None
20-24;None
45-54;Non-limiting
45-54;None
45-54;Non-limiting
20-24;None
20-24;None
45-54;None
45-54;None
20-24;None
18-19;None
55-64;None
25-34;None
18-19;None
25-34;None
65-74;Limiting
16-17;None
25-34;Non-limiting
35-44;Limiting
20-24;None
20-24;None
65-74;None
45-54;Limiting
20-24;None
25-34;None
25-34;Non-limiting
20-24;None
25-34;None
20-24;None
20-24;Non-limiting
35-44;Limiting
20-24;None
55-64;Limiting
20-24;Non-limiting
35-44;None
25-34;None
35-44;None
35-44;None
25-34;None
25-34;None
25-34;None
45-54;None
20-24;None
25-34;None
55-64;Limiting
35-44;None
45-54;Limiting
16-17;None
25-34;None
20-24;None
20-24;None
18-19;None
25-34;None
65-74;None
45-54;None
35-44;None
18-19;None
45-54;Limiting
16-17;None
65-74;Limiting
18-19;Non-limiting
55-64;Non-limiting
25-34;Non-limiting
55-64;None
25-34;Limiting
35-44;Non-limiting
20-24;None
18-19;None
25-34;None
16-17;None
25-34;None
35-44;None
18-19;None
18-19;None
55-64;Limiting
45-54;None
25-34;None
16-17;None
35-44;None
25-34;Limiting
65-74;None
35-44;None
55-64;Limiting
25-34;None
65-74;None
35-44;Limiting
65-74;None
16-17;None
65-74;Limiting
45-54;None
20-24;None
65-74;Non-limiting
35-44;Non-limiting
20-24;None
45-54;None
55-64;None
20-24;None
55-64;None
25-34;None
25-34;None
20-24;None
25-34;Non-limiting
35-44;None
25-34;None
25-34;None
35-44;None
25-34;None
25-34;None
20-24;None
35-44;Limiting
25-34;None
35-44;None
35-44;Limiting
25-34;None
20-24;None
45-54;Limiting
20-24;None
20-24;None
18-19;Non-limiting
20-24;None
45-54;Limiting
20-24;None
20-24;Non-limiting
25-34;None
25-34;None
55-64;Limiting
35-44;None
35-44;Limiting
55-64;Non-limiting
16-17;None
45-54;None
65-74;None
45-54;Limiting
25-34;None
16-17;None
35-44;None
55-64;None
35-44;Limiting
65-74;Limiting
55-64;None
25-34;None
16-17;None
16-17;None
65-74;None
25-34;None
18-19;None
16-17;None
18-19;None
65-74;None
55-64;Limiting
16-17;None
20-24;None
16-17;None
35-44;None
25-34;None
55-64;Non-limiting
55-64;Limiting
20-24;None
25-34;Non-limiting
25-34;None
20-24;None
45-54;None
35-44;None
45-54;None
65-74;Non-limiting
16-17;Limiting
35-44;Non-limiting
20-24;None
16-17;None
35-44;None
25-34;None
25-34;None
65-74;Non-limiting
65-74;Limiting
16-17;None
65-74;Limiting
18-19;Non-limiting
25-34;None
16-17;Non-limiting
25-34;Non-limiting
45-54;None
35-44;None
55-64;None
25-34;None
20-24;None
65-74;Limiting
45-54;None
25-34;Limiting
65-74;Limiting
35-44;None
25-34;Limiting
65-74;Non-limiting
25-34;None
16-17;None
25-34;None
55-64;Limiting
65-74;Non-limiting
25-34;None
45-54;None
18-19;None
35-44;None
16-17;None
45-54;None
65-74;Non-limiting
20-24;None
25-34;None
65-74;Limiting
25-34;Non-limiting
20-24;None
45-54;Limiting
45-54;Limiting
45-54;None
25-34;None
65-74;Limiting
25-34;Limiting
65-74;Limiting
35-44;Non-limiting
65-74;Limiting
45-54;Limiting
20-24;Limiting
45-54;Limiting
25-34;None
25-34;Limiting
35-44;Limiting
25-34;None
25-34;Limiting
45-54;Limiting
20-24;None
18-19;None
25-34;None
65-74;Limiting
20-24;None
35-44;None
18-19;None
25-34;None
25-34;Limiting
20-24;None
20-24;None
20-24;None
25-34;None
65-74;Non-limiting
18-19;None
25-34;None
20-24;None
55-64;None
45-54;None
35-44;None
35-44;None
45-54;None
55-64;Limiting
16-17;None
16-17;None
25-34;None
20-24;None
55-64;None
25-34;None
18-19;None
25-34;None
25-34;None
18-19;None
25-34;None
35-44;None
35-44;None
25-34;None
20-24;None
25-34;None
25-34;None
20-24;None
25-34;None
45-54;Limiting
35-44;None
65-74;None
35-44;None
25-34;None
25-34;None
45-54;None
18-19;None
35-44;Limiting
16-17;None
35-44;None
25-34;None
45-54;None
35-44;Non-limiting
45-54;None
45-54;Non-limiting
25-34;None
55-64;Limiting
20-24;None
65-74;Limiting
45-54;None
45-54;None
25-34;None
25-34;None
18-19;None
25-34;None
25-34;None
20-24;None
55-64;Limiting
16-17;None
25-34;Limiting
35-44;Non-limiting
35-44;Limiting
20-24;None
65-74;None
45-54;Limiting
35-44;None
65-74;Non-limiting
25-34;None
25-34;None
25-34;Non-limiting
65-74;Limiting
20-24;None
25-34;None
18-19;None
35-44;Non-limiting
45-54;Non-limiting
35-44;Limiting
65-74;Non-limiting
16-17;None
20-24;None
65-74;None
18-19;None
55-64;None
18-19;None
55-64;Limiting
35-44;None
25-34;None
25-34;None
65-74;None
25-34;Non-limiting
25-34;None
25-34;None
35-44;None
35-44;Non-limiting
25-34;None
25-34;None
25-34;Non-limiting
55-64;Limiting
45-54;None
35-44;None
25-34;None
65-74;None
45-54;Non-limiting
25-34;None
20-24;None
65-74;None
55-64;Non-limiting
55-64;Non-limiting
55-64;None
55-64;None
25-34;None
35-44;None
20-24;Non-limiting
18-19;Non-limiting
55-64;None
25-34;None
25-34;None
45-54;None
20-24;None
35-44;None
25-34;None
25-34;None
20-24;None
25-34;None
20-24;None
45-54;None
35-44;None
35-44;None
65-74;Non-limiting
65-74;None
25-34;Limiting
55-64;Limiting
35-44;Non-limiting
45-54;Non-limiting
65-74;Limiting
16-17;None
65-74;Limiting
16-17;None
18-19;None
55-64;Non-limiting
35-44;None
16-17;None
65-74;Limiting
35-44;None
55-64;None
16-17;None
65-74;None
65-74;Non-limiting
65-74;None
55-64;None
65-74;None
25-34;Non-limiting
35-44;None
20-24;None
20-24;None
25-34;None
16-17;None
20-24;Non-limiting
35-44;None
20-24;Limiting
20-24;None
45-54;Limiting
65-74;None
25-34;None
25-34;Limiting
55-64;Limiting
45-54;Limiting
65-74;Limiting
35-44;None
20-24;None
25-34;None
25-34;None
18-19;None
55-64;Limiting
20-24;None
55-64;None
65-74;Limiting
55-64;None
25-34;None
45-54;None
65-74;None
55-64;Non-limiting
25-34;None
55-64;None
16-17;None
55-64;Limiting
55-64;Non-limiting
65-74;Limiting
25-34;Non-limiting
25-34;None
20-24;None
45-54;None
16-17;None
55-64;Limiting
65-74;Non-limiting
55-64;None
55-64;Limiting
25-34;None
45-54;Limiting
20-24;Non-limiting
35-44;None
35-44;None
18-19;None
25-34;None
20-24;None
25-34;Non-limiting
25-34;None
35-44;Limiting
25-34;None
65-74;Non-limiting
25-34;Limiting
35-44;Limiting
20-24;None
20-24;None
20-24;None
35-44;Limiting
25-34;None
25-34;None
25-34;None
35-44;None
16-17;None
55-64;None
65-74;None
20-24;None
25-34;None
25-34;None
65-74;Non-limiting
25-34;None
35-44;None
25-34;None
45-54;Limiting
18-19;None
20-24;Limiting
25-34;None
65-74;Limiting
25-34;Non-limiting
25-34;None
25-34;Limiting
20-24;None
16-17;None
25-34;Limiting
20-24;None
35-44;None
18-19;None
45-54;Non-limiting
45-54;Non-limiting
25-34;None
35-44;None
65-74;None
25-34;Non-limiting
55-64;Limiting
25-34;None
25-34;None
25-34;Non-limiting
25-34;None
55-64;Non-limiting
25-34;None
25-34;None
20-24;None
25-34;None
18-19;None
55-64;None
45-54;None
25-34;Limiting
18-19;None
35-44;Non-limiting
25-34;None
35-44;Non-limiting
16-17;None
25-34;None
45-54;Limiting
35-44;Non-limiting
65-74;None
65-74;Limiting
55-64;Limiting
18-19;None
25-34;None
65-74;Non-limiting
20-24;None
20-24;None
45-54;Limiting
55-64;Limiting
25-34;Limiting
25-34;Limiting
20-24;None
45-54;None
35-44;None
35-44;None
35-44;None
25-34;Non-limiting
35-44;None
25-34;Non-limiting
65-74;Limiting
35-44;Non-limiting
35-44;Limiting
45-54;Limiting
45-54;Non-limiting
65-74;None
45-54;None
55-64;Limiting
20-24;None
45-54;None
35-44;None
55-64;None
55-64;None
35-44;None
35-44;Limiting
20-24;None
20-24;None
35-44;None
25-34;Limiting
20-24;None
25-34;None
25-34;None
65-74;None
65-74;Limiting
20-24;Non-limiting
65-74;None
55-64;Limiting
35-44;None
25-34;None
65-74;Non-limiting
35-44;Limiting
35-44;None
25-34;None
18-19;None
65-74;None
25-34;None
25-34;None
35-44;None
25-34;Limiting
45-54;None
25-34;Limiting
35-44;Limiting
18-19;None
25-34;None
35-44;None
65-74;None
25-34;None
55-64;None
16-17;None
25-34;None
18-19;None
35-44;None
35-44;None
55-64;None
65-74;None
25-34;Non-limiting
35-44;Non-limiting
25-34;None
20-24;None
20-24;None
20-24;Limiting
45-54;Limiting
25-34;None
45-54;None
45-54;None
16-17;None
55-64;Limiting
16-17;None
25-34;None
16-17;None
20-24;None
45-54;None
25-34;Non-limiting
35-44;Limiting
25-34;None
35-44;Non-limiting
25-34;None
20-24;Non-limiting
25-34;Non-limiting
25-34;None
25-34;None
45-54;Limiting
25-34;None
18-19;None
35-44;None
18-19;None
18-19;Non-limiting
45-54;None
35-44;None
25-34;Limiting
20-24;None
35-44;Non-limiting
45-54;None
25-34;None
18-19;None
25-34;Limiting
25-34;None
25-34;None
55-64;None
45-54;None
25-34;None
55-64;None
16-17;None
25-34;None
55-64;Non-limiting
65-74;Non-limiting
16-17;Non-limiting
20-24;None
55-64;Non-limiting
20-24;None
25-34;Limiting
35-44;Non-limiting
45-54;None
16-17;None
55-64;None
45-54;None
65-74;Limiting
20-24;None
45-54;Non-limiting
20-24;None
65-74;None
25-34;Limiting
55-64;Non-limiting
45-54;Limiting
16-17;None
45-54;None
25-34;None
35-44;None
16-17;None
25-34;Limiting
35-44;None
25-34;None
65-74;Non-limiting
25-34;Non-limiting
55-64;Limiting
45-54;Limiting
16-17;Limiting
45-54;None
25-34;None
18-19;None
55-64;Limiting
25-34;None
25-34;None
55-64;None
18-19;None
45-54;Non-limiting
25-34;None
25-34;None
65-74;None
25-34;None
18-19;None
25-34;None
16-17;None
65-74;Non-limiting
25-34;None
16-17;None
55-64;Limiting
25-34;Non-limiting
20-24;None
25-34;None
20-24;None
35-44;None
65-74;Limiting
25-34;None
55-64;Limiting
35-44;Non-limiting
25-34;None
25-34;None
45-54;None
35-44;None
35-44;None
18-19;None
35-44;None
25-34;None
35-44;None
55-64;Limiting
25-34;None
20-24;None
55-64;None
65-74;None
65-74;None
25-34;None
65-74;None
55-64;Non-limiting
25-34;None
45-54;None
25-34;Non-limiting
25-34;None
25-34;None
25-34;None
25-34;None
35-44;Limiting
45-54;Limiting
25-34;None
35-44;None
35-44;None
25-34;Non-limiting
16-17;None
35-44;None
16-17;None
55-64;None
20-24;None
25-34;None
35-44;None
25-34;Non-limiting
65-74;None
18-19;None
20-24;None
18-19;None
18-19;None
20-24;None
35-44;None
25-34;None
35-44;None
20-24;None
20-24;None
25-34;None
18-19;None
25-34;None
20-24;None
16-17;None
25-34;Non-limiting
20-24;Limiting
25-34;None
20-24;Non-limiting
25-34;None
25-34;None
45-54;None
20-24;None
16-17;None
25-34;Non-limiting
55-64;None
20-24;None
18-19;None
25-34;None
25-34;None
16-17;None
18-19;None
25-34;None
65-74;Non-limiting
55-64;Non-limiting
45-54;None
45-54;None
25-34;None
25-34;None
25-34;None
35-44;None
45-54;None
65-74;Non-limiting
35-44;Limiting
55-64;None
35-44;None
18-19;None
20-24;Limiting
65-74;None
45-54;Non-limiting
25-34;Non-limiting
18-19;None
45-54;None
35-44;None
16-17;None
20-24;None
20-24;None
16-17;None
25-34;None
45-54;None
65-74;Non-limiting
20-24;None
35-44;Limiting
45-54;Non-limiting
16-17;None
25-34;None
20-24;Non-limiting
35-44;Limiting
25-34;None
35-44;None
35-44;None
45-54;None
55-64;Limiting
55-64;Limiting
20-24;None
16-17;None
35-44;Non-limiting
45-54;Non-limiting
35-44;None
25-34;None
25-34;None
65-74;None
55-64;Limiting
45-54;None
25-34;None
45-54;None
45-54;Non-limiting
16-17;None
25-34;None
35-44;None
25-34;None
45-54;Non-limiting
35-44;Limiting
16-17;None
55-64;Limiting
16-17;Limiting
25-34;None
20-24;None
45-54;None
25-34;None
55-64;Limiting
20-24;None
25-34;Non-limiting
25-34;None
20-24;None
18-19;None
25-34;Non-limiting
25-34;None
35-44;None
25-34;None
25-34;None
20-24;None
65-74;None
25-34;None
55-64;None
25-34;None
25-34;None
16-17;Non-limiting
25-34;None
35-44;None
25-34;None
65-74;None
45-54;Limiting
25-34;None
45-54;None
35-44;None
65-74;None
25-34;None
25-34;None
45-54;Limiting
25-34;Limiting
65-74;Non-limiting
20-24;None
16-17;None
25-34;None
35-44;None
20-24;None
55-64;None
65-74;Non-limiting
18-19;None
25-34;None
20-24;None
25-34;None
45-54;Limiting
20-24;None
25-34;Non-limiting
65-74;Limiting
25-34;None
20-24;None
25-34;Limiting
18-19;None
55-64;None
55-64;Limiting
25-34;None
35-44;None
55-64;None
65-74;None
55-64;None
18-19;None
35-44;None
45-54;Limiting
55-64;None
20-24;None
55-64;Non-limiting
20-24;None
35-44;Non-limiting
65-74;None
55-64;None
18-19;Non-limiting
25-34;Limiting
55-64;Limiting
65-74;None
45-54;None
55-64;None
55-64;None
45-54;None
65-74;Non-limiting
65-74;None
45-54;None
65-74;Non-limiting
20-24;None
35-44;None
45-54;Limiting
25-34;None
25-34;None
18-19;None
45-54;Limiting
35-44;Non-limiting
55-64;None
25-34;None
25-34;None
55-64;None
25-34;None
55-64;Limiting
18-19;None
20-24;None
25-34;None
25-34;None
45-54;None
20-24;None
25-34;None
20-24;None
25-34;None
16-17;None
55-64;None
20-24;None
55-64;None
25-34;Non-limiting
35-44;None
18-19;None
65-74;Non-limiting
20-24;Non-limiting
20-24;None
18-19;Limiting
45-54;Limiting
45-54;None
25-34;Limiting
18-19;Limiting
20-24;None
25-34;None
18-19;None
65-74;Limiting
25-34;None
18-19;Limiting
45-54;None
35-44;None
25-34;Limiting
65-74;Limiting
16-17;None
18-19;None
20-24;None
55-64;Limiting
45-54;Limiting
25-34;None
45-54;Limiting
45-54;Limiting
25-34;None
25-34;Non-limiting
45-54;Non-limiting
55-64;Non-limiting
16-17;Limiting
65-74;None
20-24;None
20-24;None
20-24;None
55-64;None
35-44;None
25-34;None
25-34;None
45-54;Limiting
65-74;None
18-19;None
18-19;None
45-54;Limiting
20-24;None
25-34;None
65-74;None
35-44;Limiting
45-54;Non-limiting
65-74;Limiting
25-34;None
55-64;None
35-44;None
45-54;None
25-34;None
45-54;None
20-24;None
35-44;None
25-34;None
20-24;None
45-54;None
25-34;Limiting
55-64;Non-limiting
45-54;None
25-34;None
35-44;None
25-34;None
35-44;None
55-64;Limiting
20-24;None
35-44;None
65-74;Non-limiting
25-34;None
35-44;None
25-34;None
35-44;None
45-54;None
45-54;None
55-64;None
45-54;None
65-74;Limiting
20-24;None
55-64;Non-limiting
18-19;Limiting
25-34;None
25-34;None
25-34;Limiting
20-24;None
20-24;None
18-19;None
25-34;None
20-24;Limiting
45-54;None
35-44;None
20-24;None
16-17;None
65-74;None
25-34;Limiting
25-34;Limiting
25-34;None
20-24;Limiting
25-34;None
35-44;None
16-17;None
35-44;None
20-24;None
20-24;None
45-54;None
16-17;None
25-34;Limiting
25-34;None
18-19;None
25-34;None
35-44;None
35-44;None
55-64;Non-limiting
25-34;Non-limiting
25-34;None
25-34;None
25-34;None
25-34;None
55-64;None
20-24;None
18-19;Non-limiting
65-74;Non-limiting
55-64;Non-limiting
35-44;Limiting
45-54;None
16-17;None
16-17;None
25-34;None
20-24;None
20-24;None
20-24;Non-limiting
55-64;Limiting
25-34;None
25-34;None
18-19;None
55-64;None
25-34;None
20-24;None
25-34;None
20-24;None
25-34;None
55-64;Non-limiting
65-74;Non-limiting
25-34;Limiting
35-44;None
25-34;Non-limiting
45-54;None
25-34;Non-limiting
55-64;None
35-44;None
25-34;None
55-64;None
65-74;Limiting
45-54;None
35-44;None
25-34;None
25-34;None
20-24;None
45-54;None
18-19;None
25-34;None
55-64;None
45-54;None
25-34;None
25-34;None
55-64;Limiting
18-19;None
25-34;Limiting
35-44;None
25-34;Limiting
55-64;None
25-34;None
25-34;None
25-34;None
55-64;None
35-44;None
35-44;None
55-64;None
55-64;None
35-44;None
18-19;None
25-34;None
35-44;None
25-34;None
35-44;None
16-17;None
20-24;None
65-74;Limiting
20-24;None
20-24;None
45-54;None
25-34;None
20-24;None
25-34;Non-limiting
45-54;None
25-34;Limiting
20-24;None
35-44;None
55-64;None
35-44;None
25-34;None
16-17;None
25-34;None
45-54;Limiting
20-24;None
25-34;None
55-64;Limiting
16-17;None
16-17;None
25-34;None
35-44;Non-limiting
25-34;None
35-44;None
25-34;None
65-74;Limiting
25-34;None
25-34;Limiting
35-44;None
65-74;Limiting
65-74;None
55-64;None
55-64;Non-limiting
35-44;None
65-74;Non-limiting
35-44;None
20-24;None
35-44;None
35-44;None
18-19;None
25-34;None
20-24;None
25-34;None
25-34;None
20-24;Non-limiting
45-54;None
25-34;None
35-44;None
55-64;None
55-64;None
20-24;None
18-19;Limiting
20-24;None
35-44;None
18-19;Limiting
25-34;None
35-44;Non-limiting
55-64;Non-limiting
45-54;Limiting
16-17;None
25-34;Non-limiting
45-54;None
18-19;None
20-24;None
20-24;None
45-54;Limiting
45-54;None
18-19;None
65-74;Non-limiting
25-34;Limiting
20-24;None
35-44;Limiting
35-44;Limiting
20-24;None
20-24;None
20-24;None
45-54;Non-limiting
25-34;None
45-54;None
35-44;None
45-54;Non-limiting
45-54;None
20-24;None
25-34;None
65-74;None
25-34;None
55-64;Non-limiting
20-24;None
65-74;Limiting
35-44;None
16-17;None
18-19;Limiting
18-19;None
35-44;Limiting
25-34;None
25-34;None
25-34;Non-limiting
65-74;None
20-24;None
25-34;Non-limiting
25-34;None
55-64;None
25-34;None
25-34;None
35-44;Limiting
20-24;None
45-54;None
35-44;Limiting
45-54;None
20-24;None
20-24;None
20-24;None
45-54;None
25-34;None
65-74;None
25-34;None
25-34;Limiting
25-34;None
55-64;Limiting
20-24;None
25-34;None
35-44;None
45-54;None
55-64;Limiting
16-17;None
45-54;None
35-44;None
16-17;None
20-24;None
45-54;Non-limiting
20-24;None
16-17;None
35-44;Limiting
16-17;None
25-34;None
25-34;None
25-34;None
65-74;None
45-54;Non-limiting
55-64;Limiting
45-54;None
25-34;None
20-24;None
20-24;None
18-19;Non-limiting
65-74;Limiting
65-74;Limiting
20-24;None
35-44;Non-limiting
25-34;None
16-17;Non-limiting
35-44;None
45-54;Limiting
18-19;None
18-19;None
18-19;Limiting
25-34;None
65-74;Limiting
18-19;None
35-44;Non-limiting
25-34;None
25-34;None
20-24;None
25-34;None
25-34;Non-limiting
16-17;Limiting
25-34;None
55-64;None
18-19;Limiting
20-24;None
45-54;Non-limiting
65-74;Non-limiting
55-64;None
55-64;None
25-34;None
25-34;Limiting
18-19;None
25-34;None
55-64;None
55-64;Limiting
25-34;None
45-54;None
16-17;None
25-34;None
45-54;Limiting
25-34;None
25-34;Limiting
55-64;Non-limiting
25-34;None
45-54;Non-limiting
65-74;Non-limiting
35-44;None
25-34;None
65-74;None
35-44;None
25-34;None
18-19;None
16-17;None
35-44;None
18-19;None
18-19;None
25-34;None
25-34;None
20-24;Non-limiting
65-74;Non-limiting
55-64;Limiting
35-44;None
45-54;None
35-44;None
25-34;None
25-34;None
65-74;None
25-34;None
25-34;None
55-64;None
45-54;None
65-74;None
18-19;None
55-64;Limiting
25-34;None
35-44;None
18-19;None
20-24;None
20-24;None
45-54;None
25-34;None
20-24;None
25-34;None
45-54;None
25-34;None
55-64;None
45-54;None
25-34;Non-limiting
35-44;None
35-44;None
55-64;Non-limiting
55-64;None
25-34;None
55-64;Limiting
25-34;None
55-64;None
65-74;Limiting
25-34;None
25-34;Limiting
65-74;Limiting
25-34;None
18-19;None
25-34;None
25-34;None
55-64;Non-limiting
20-24;None
65-74;None
25-34;None
16-17;None
16-17;None
65-74;None
55-64;Non-limiting
25-34;None
20-24;None
35-44;None
20-24;None
20-24;None
45-54;Limiting
35-44;None
45-54;None
45-54;Non-limiting
25-34;Non-limiting
55-64;None
35-44;Limiting
20-24;None
65-74;Non-limiting
25-34;None
25-34;None
18-19;None
25-34;None
20-24;None
55-64;None
20-24;None
25-34;None
45-54;None
25-34;None
45-54;Non-limiting
35-44;None
55-64;Limiting
25-34;None
20-24;None
65-74;Limiting
25-34;None
25-34;None
55-64;Non-limiting
18-19;None
45-54;Non-limiting
16-17;Non-limiting
16-17;None
65-74;Non-limiting
25-34;Limiting
65-74;Non-limiting
20-24;Non-limiting
35-44;None
25-34;None
65-74;Non-limiting
35-44;None
25-34;None
20-24;None
18-19;None
20-24;None
35-44;None
25-34;None
45-54;None
55-64;Non-limiting
35-44;None
25-34;None
16-17;None
25-34;None
18-19;Limiting
65-74;None
55-64;None
16-17;None
65-74;None
25-34;Limiting
20-24;None
35-44;None
55-64;Limiting
20-24;None
55-64;Non-limiting
45-54;None
35-44;None
55-64;None
65-74;Non-limiting
35-44;None
25-34;Limiting
45-54;None
20-24;None
20-24;None
18-19;None
55-64;None
45-54;Limiting
35-44;None
20-24;None
55-64;Limiting
45-54;Limiting
45-54;None
25-34;Non-limiting
45-54;None
65-74;Non-limiting
55-64;None
18-19;None
45-54;None
55-64;Non-limiting
65-74;Limiting
20-24;None
25-34;Non-limiting
55-64;Limiting
55-64;None
35-44;None
20-24;None
25-34;Limiting
20-24;None
35-44;None
55-64;Limiting
25-34;None
35-44;None
20-24;None
20-24;None
65-74;Non-limiting
18-19;None
35-44;Limiting
25-34;Non-limiting
18-19;None
25-34;None
20-24;Limiting
55-64;Non-limiting
18-19;None
25-34;Limiting
65-74;None
25-34;None
55-64;Limiting
45-54;None
25-34;None
45-54;None
20-24;None
25-34;Limiting
45-54;None
25-34;None
35-44;None
18-19;Limiting
55-64;None
25-34;None
25-34;None
18-19;None
35-44;None
25-34;None
25-34;None
35-44;None
35-44;Limiting
20-24;None
35-44;None
45-54;None
25-34;None
45-54;Limiting
55-64;None
35-44;Limiting
65-74;Limiting
16-17;None
25-34;None
25-34;None
35-44;None
65-74;None
25-34;None
45-54;Limiting
45-54;Non-limiting
55-64;Limiting
25-34;None
16-17;None
20-24;None
20-24;None
25-34;None
55-64;Non-limiting
18-19;None
18-19;None
65-74;None
20-24;None
35-44;None
35-44;None
45-54;None
45-54;None
65-74;None
45-54;None
25-34;None
16-17;None
16-17;None
35-44;None
20-24;None
25-34;Non-limiting
25-34;None
18-19;Non-limiting
35-44;Non-limiting
18-19;None
55-64;Limiting
45-54;None
20-24;Non-limiting
16-17;None
55-64;Limiting
20-24;None
55-64;None
65-74;Limiting
20-24;None
20-24;None
45-54;Limiting
18-19;None
35-44;Limiting
65-74;None
55-64;Limiting
65-74;None
35-44;None
65-74;Limiting
25-34;Non-limiting
35-44;None
45-54;None
25-34;None
20-24;None
25-34;None
25-34;Limiting
25-34;None
45-54;None
25-34;None
55-64;Non-limiting
25-34;None
65-74;None
16-17;None
35-44;None
16-17;None
45-54;None
35-44;None
55-64;Non-limiting
16-17;None
20-24;None
25-34;None
20-24;None
45-54;None
25-34;None
25-34;None
18-19;None
65-74;Non-limiting
45-54;Limiting
55-64;Limiting
45-54;None
25-34;None
18-19;None
45-54;Limiting
18-19;Non-limiting
55-64;Non-limiting
65-74;Non-limiting
20-24;None
65-74;Limiting
20-24;None
25-34;None
20-24;None
65-74;Non-limiting
25-34;None
16-17;None
25-34;None
25-34;None
20-24;Non-limiting
65-74;Limiting
45-54;None
45-54;None
55-64;Limiting
20-24;None
25-34;None
65-74;None
35-44;Limiting
25-34;None
35-44;None
20-24;Non-limiting
18-19;None
35-44;None
65-74;Limiting
25-34;None
18-19;Non-limiting
25-34;None
25-34;None
25-34;None
20-24;None
45-54;None
20-24;None
45-54;Limiting
25-34;None
35-44;None
20-24;None
25-34;None
25-34;None
25-34;Non-limiting
35-44;None
55-64;None
45-54;Limiting
16-17;None
55-64;Limiting
25-34;Limiting
55-64;Non-limiting
20-24;Limiting
55-64;None
35-44;Non-limiting
65-74;Non-limiting
55-64;None
35-44;Non-limiting
65-74;Non-limiting
20-24;None
45-54;Non-limiting
35-44;None
16-17;None
18-19;Limiting
20-24;None
16-17;None
45-54;Non-limiting
20-24;None
18-19;None
65-74;Non-limiting
25-34;None
25-34;Limiting
20-24;Non-limiting
25-34;None
20-24;Limiting
18-19;Limiting
65-74;None
45-54;None
55-64;Non-limiting
18-19;None
25-34;None
25-34;None
45-54;None
25-34;None
16-17;Limiting
25-34;None
18-19;None
35-44;Limiting
16-17;None
35-44;Limiting
25-34;Limiting
25-34;None
25-34;None
20-24;Limiting
25-34;None
20-24;None
18-19;None
25-34;None
35-44;None
35-44;Non-limiting
65-74;None
25-34;None
25-34;None
65-74;None
20-24;None
25-34;None
35-44;None
35-44;Limiting
55-64;Limiting
20-24;Non-limiting
25-34;Limiting
45-54;None
35-44;None
35-44;None
25-34;None
20-24;None
35-44;Non-limiting
45-54;None
25-34;Non-limiting
25-34;Limiting
55-64;Limiting
20-24;None
35-44;None
35-44;None
45-54;Limiting
45-54;Limiting
20-24;None
35-44;None
55-64;Limiting
35-44;None
25-34;None
20-24;Limiting
16-17;None
55-64;Non-limiting
25-34;None
35-44;None
25-34;None
20-24;None
25-34;None
65-74;None
25-34;None
65-74;None
65-74;None
55-64;Non-limiting
25-34;None
18-19;Non-limiting
65-74;Limiting
65-74;None
18-19;None
35-44;None
25-34;Limiting
65-74;None
55-64;Limiting
18-19;None
55-64;None
16-17;None
45-54;Limiting
25-34;None
55-64;Non-limiting
35-44;None
65-74;Non-limiting
35-44;None
18-19;None
25-34;None
65-74;None
45-54;None
25-34;None
65-74;Limiting
16-17;None
25-34;None
45-54;None
20-24;None
20-24;None
55-64;None
20-24;None
25-34;Limiting
18-19;None
55-64;None
20-24;None
16-17;None
16-17;None
65-74;None
45-54;Limiting
45-54;None
45-54;Limiting
25-34;None
20-24;None
20-24;None
55-64;None
20-24;Limiting
55-64;Limiting
25-34;None
25-34;None
55-64;Limiting
55-64;Non-limiting
55-64;None
16-17;None
18-19;None
45-54;None
35-44;None
35-44;None
18-19;None
55-64;None
55-64;None
35-44;None
65-74;Limiting
65-74;None
45-54;Limiting
16-17;None
20-24;None
35-44;None
65-74;Limiting
20-24;None
65-74;None
20-24;None
55-64;Non-limiting
35-44;None
16-17;None
35-44;None
20-24;None
55-64;Limiting
65-74;Limiting
18-19;None
45-54;None
20-24;None
45-54;Limiting
35-44;None
55-64;None
20-24;None
55-64;Limiting
55-64;None
25-34;Limiting
45-54;None
55-64;None
45-54;None
16-17;Non-limiting
20-24;Non-limiting
16-17;None
25-34;None
25-34;None
35-44;None
16-17;None
